DATAFLOW,LAST UPDATE,freq,unit,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,CZ,2014,2.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,DE,2014,2.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,DE,2014,5.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,DE,2014,3.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,DE,2014,4.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,DE,2014,5.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,DE,2014,4.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,DE,2014,5.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,DE,2014,4.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,DE,2014,4.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,DE,2014,4.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,DE,2014,4.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,DE,2014,4.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,DK,2014,6.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,DK,2014,9.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,DK,2014,8.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,DK,2014,7.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,DK,2014,7.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,DK,2014,7.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,DK,2014,8.6,
