DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2012,5751000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2013,5560000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2014,5506000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2015,5747000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2016,6037872,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2017,6282891,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2018,6372529,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2019,6495949,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2020,6132681,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2000,407000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2001,340000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2002,306000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2006,569000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2007,619000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2008,597000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2013,496846,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2014,516244,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2015,549062,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2016,575688,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2017,596062,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2018,603892,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2019,599045,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DK,2020,575982,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2000,4097000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2001,2841000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2002,2758000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2003,2718000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2004,2995000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2006,4759000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2007,4747000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2008,4236000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2009,3543000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2010,2973000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2011,2645000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2012,2338000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2013,2058000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2014,1466436,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2015,1801132,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2016,2100067,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2017,2304780,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2018,2474684,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2019,2491292,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,ES,2020,2005747,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,FI,2000,274000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,FI,2001,246000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,FI,2002,228000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,FI,2003,266000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,FI,2004,291000,d
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,FI,2005,293000,d
